farm_id,code,add_code,addr1,addr2,addr3,f.add_code,f.addr1,f.addr2,f.addr3,p1.age,p1.sex,toddler,kinder,elem,middle,high,parents,child,teenager,age_c,index7
강진군_2_1_1_0,470808,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,47,1,0,0,1,0,1,0,1,1,2,3
강진군_3_0_0_0,419362,4681038000,전라남도,강진군,병영면,4681038000,전라남도,강진군,병영면,57,1,0,0,0,0,0,0,0,0,3,3
강진군_3_0_0_0,549036,4681038000,전라남도,강진군,병영면,4681038000,전라남도,강진군,병영면,57,1,0,0,0,0,0,0,0,0,3,3
강진군_3_0_0_0,560319,4681032000,전라남도,강진군,칠량면,4681025000,전라남도,강진군,강진읍,53,1,0,0,0,0,0,0,0,0,3,3
강진군_3_0_1_0,450913,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,51,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,517583,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,58,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,370036,4681037000,전라남도,강진군,작천면,4681037000,전라남도,강진군,작천면,54,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,405166,4681038000,전라남도,강진군,병영면,4681038000,전라남도,강진군,병영면,59,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,454595,4681038000,전라남도,강진군,병영면,4681031000,전라남도,강진군,군동면,50,1,0,0,0,1,1,0,0,1,3,3
강진군_3_0_1_0,481188,4681032000,전라남도,강진군,칠량면,4681032000,전라남도,강진군,칠량면,57,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,513857,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,59,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,504793,4681035000,전라남도,강진군,신전면,4681035000,전라남도,강진군,신전면,51,1,0,0,0,1,1,0,0,1,3,3
강진군_3_0_1_0,453752,4681032000,전라남도,강진군,칠량면,4681032000,전라남도,강진군,칠량면,57,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,450454,4687031000,전라남도,영광군,대마면,4681031000,전라남도,강진군,군동면,50,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,420226,4681038000,전라남도,강진군,병영면,4681038000,전라남도,강진군,병영면,59,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_0,507202,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,55,1,0,0,0,0,1,0,0,1,3,3
강진군_3_0_1_1,398495,4682038000,전라남도,해남군,계곡면,4681032000,전라남도,강진군,칠량면,56,2,0,0,0,0,1,1,0,1,3,3
강진군_4_0_0_0,475123,4280031000,강원도,양구군,남면,4681025000,전라남도,강진군,강진읍,62,2,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,554157,4681037000,전라남도,강진군,작천면,4681025000,전라남도,강진군,강진읍,60,2,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,498654,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,64,1,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,538127,4681037000,전라남도,강진군,작천면,4681025000,전라남도,강진군,강진읍,60,2,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,539128,4681040000,전라남도,강진군,마량면,4681040000,전라남도,강진군,마량면,60,1,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,531489,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,71,1,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,541065,4681031000,전라남도,강진군,군동면,4681031000,전라남도,강진군,군동면,77,1,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,562415,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,64,1,0,0,0,0,0,0,0,0,4,3
