,rn,total_cnt,file_infos,regist_id,regist_nm,regist_dt,regist_date,updt_id,updt_nm,updt_dt,updt_date,data_id,data_nm,dataset_nm,dataset_dc,data_dc,cl_code,cl_full_nm,cl_nm_new,grid_provd_ennc,file_provd_ennc,api_provd_ennc,link_provd_ennc,raw_data_provd_ennc,entity_id,api_id,provd_instt_id,provd_instt_nm,jrsd_instt_code,jrsd_instt_nm,kwrd_one,kwrd_two,kwrd_three,job_charger_psitn,job_charger_nm,job_charger_tlphon_no,dataset_rm,lang,lang_nm,hold_stl_code,hold_stle_nm,updt_cycle_code,updt_cycle_nm,nxttrm_regist_prarnde,threeman_right_incls_ennc,ccl_code,ccl_nm,opn_year,realm_code,rdcnt,data_rm,tot_cnt,map_provd_ennc,chart_provd_ennc
217,218,1054,,,,2014.12.20,,,,,,20141220000000000376,농수축산물 표준등급코드,경락가격정보서비스,,"전국 공영도매시장 및 농/수협 위/공판장 경락가격에서 사용하는 농수축산물 표준등급코드
",1301,유통 > 유통가격,,Y,Y,Y,,,TI_EPIS_AP_ST_GRAD_CD,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,2951,,0,N,N
218,219,1054,,,,2014.12.20,,,,,,20141220000000000380,농수축산물 조사가격 품목코드,기관조사가격서비스,,농수축산물 조사가격 품목코드,1301,유통 > 유통가격,,Y,Y,Y,,,TI_EPIS_AP_ET_PRDLST_CD,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,1101,,0,N,N
219,220,1054,,,,2014.12.20,,,,,,20141220000000000381,농수축산물 조사가격 시장코드,기관조사가격서비스,,"농수축산물 조사가격 시장코드
",1301,유통 > 유통가격,,Y,Y,Y,,,TI_EPIS_AP_ET_MARKET_CD,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,1245,,0,N,N
220,221,1054,,,,2014.12.22,,,,,,20141222000000000386,병해충 예측 정보,병해충예찰정보,,병해충예측정보,1905,농축산기술 > 병해충,,,,,Y,,,,201410120013,농촌진흥청,,,,,,,,,,,,,,,,,,,,,open,238,,0,N,N
221,222,1054,,,,2014.12.22,,,,,,20141222000000000387,명산 등산로 정보,명산등산로(산림공간정보1:25000),,명산등산로,1202,산림 > 휴양문화,,,,,Y,,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,218,,0,N,N
222,223,1054,,,,2014.12.22,,,,,,20141222000000000388,백두대간 보호 구역도,백두대간보호구역도(산림공간정보1:25000),,백두대간보호구역도,1201,산림 > 산림자원,,,,,Y,,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,78,,0,N,N
223,224,1054,,,,2014.12.22,,,,,,20141222000000000390,전통 마을 숲 위치도,전통마을숲위치도(산림공간정보1:25000),,전통마을숲위치도,1202,산림 > 휴양문화,,,,,Y,,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,155,,0,N,N
224,225,1054,,,,2014.12.22,,,,,,20141222000000000391,휴양림 고시 구역도,휴양림고시구역도(산림공간정보1:25000),,휴양림고시구역도,1202,산림 > 휴양문화,,,,,Y,,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,111,,0,N,N
225,226,1054,,,,2014.12.22,,,,,,20141222000000000393,산림교육프로그램 서비스,산림교육프로그램,,산림교육 시설 및 프로그램 운영 정보 검색,1600,교육,,,,,Y,,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,142,,0,N,N
226,227,1054,,,,2014.12.22,,,,,,20141222000000000394,산림 사업법인 정보,산림사업법인 정보,,산림사업법인정보,1201,산림 > 산림자원,,,,Y,N,,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,119,,0,N,N
227,228,1054,,,,2014.10.20,,,,,,20141020000000000314,위반 정보,면세유사후관리,,지역별 면세유 위반사용 정보 현황,1907,농축산기술 > 농자재,,Y,Y,Y,N,Y,TI_MAFRA_TAXXPT_OIL_VIOLT,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,152,,0,N,Y
228,229,1054,,,,2014.12.25,,,,,,20141225000000000407,농수축산물 친환경가격,농수축산물 도소매가격,,농수축산물 친환경가격,1301,유통 > 유통가격,,Y,Y,Y,,Y,TI_AT_EVRFRND_PRICE,,201410120008,한국농수산식품유통공사,,,,,,,,,,,,,,,,,,,,,open,1758,,0,N,N
229,230,1054,,,,2014.10.16,,,,,,20141016000000000265,누에자원 정보,생명자원정보,,누에자원 정보,1902,농축산기술 > 생명자원,,Y,N,Y,Y,N,TI_EPIS_SILKWRM_RESRCE_INFO,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,114,,0,N,N
230,231,1054,,,,2014.10.15,,,,,,20141015000000000211,한국 외식업 경기지수,외식업 경기지수,,"한국외식업경기지수 조사결과(업종별, 지역별, 프렌차이즈별 등 동향)",2105,식품산업 > 통계,,N,Y,N,N,N,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,89,,0,N,N
231,232,1054,,,,2015.08.19,,,,,,20150819000000000433,작목별농업기술동영상정보,농업기술동영상 DB,,작목별농업기술동영상정보,1909,농축산기술 > R&D,,,,,Y,,,,201410120013,농촌진흥청,,,,,,,,,,,,,,,,,,,,,open,158,,0,N,N
232,233,1054,,,,2015.08.19,,,,,,20150819000000000437,농산물 품종 정보,품종정보 DB,,농산물품종정보,1906,농축산기술 > 종자,,,,,Y,,,,201410120013,농촌진흥청,,,,,,,,,,,,,,,,,,,,,open,375,,0,N,N
233,234,1054,,,,2014.11.25,,,,,,20141125000000000361,고품질브랜드쌀현황,고품질 브랜드 쌀 평가 결과,,"2003년부터 (사)한국소비자단체협의회와 함께 시중에 유통되는 브랜드 쌀을 대상으로 품위, 품종, 식미, 서류 및 현장 평가 등을 통해 우수 브랜드 선정",1001,농산 > 식량작물,,Y,Y,Y,,Y,TI_MAFRA_T_HGHLTRICE_ST,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,613,,0,N,N
234,235,1054,,,,2014.11.25,,,,,,20141125000000000362,농산물 도매시장현황,농산물 도매시장 현황,,"공영도매시장, 일반법정, 민영 도매시장 현황 자료",1303,유통 > 유통관리,,,Y,,,,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,579,,0,N,N
235,236,1054,,,,2014.12.16,,,,,,20141216000000000365,서울강서도매시장 조사가격,기관조사가격서비스,,"서울 강서 도매시장에서 거래되는 품목을 매일 조사(약 300개 품종), 품목별 등급(특,상,중,하), 가격(최고가, 최저가, 평균가) 등의 정보를 서비스하며, 일부품목은 농수산물 표준코드와 상이할 수 있음 금주 토요일정보는 매주 월요일에 갱신됨",1301,유통 > 유통가격,,Y,N,Y,Y,Y,TI_EPIS_GANGSEO_MRKT,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,1601,,0,N,N
236,237,1054,,,,2014.12.16,,,,,,20141216000000000366,서울가락도매시장 조사가격,기관조사가격서비스,,"가락동 도매시장에서 거래되는 품목을 매일 조사(약 300개 품종), 품목별 등급(특,상,중,하), 가격(최고가, 최저가, 평균가) 등의 정보를 서비스하며, 일부품목은 농수산물 표준코드와 상이할 수 있음 금주 토요일정보는 매주 월요일에 갱신됨",1301,유통 > 유통가격,,Y,,Y,Y,Y,TI_EPIS_GARAK_MRKT,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,3845,,0,N,N
237,238,1054,,,,2014.12.22,,,,,,20141222000000000385,농업농촌종합정보(인테러뱅) 서비스,농업농촌종합정보(인테러뱅),,농촌진흥청에서 제공하는 인테러뱅 서비스 ,1910,농축산기술 > 영농,,,Y,,Y,,,,201410120013,농촌진흥청,,,,,,,,,,,,,,,,,,,,,open,292,,0,N,N
238,239,1054,,,,2014.12.24,,,,,,20141224000000000397,국가 표준식물 목록_이명,국가표준식물목록(국가생물종 지식정보),,"식물의 이름을 표준화하고자 식물별 전문연구자가 최근의 분류학적 연구를 바탕으로 한 식물명을 정리하고, 국가식물목록위원회에서 검토·심의·결정하여 정리한 목록",1902,농축산기술 > 생명자원,,Y,Y,Y,Y,Y,TI_FOREST_CYTD_PLNT_LIST_TWNM,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,954,,0,N,N
239,240,1054,,,,2014.12.29,,,,,,20141229000000000408,칼로리 정보,웰빙도시농업 정보,,농업관련 도시농업정보 및 웰빙정보 컨텐츠,1704,농촌복지 > 도시농업,,,Y,,,,,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,407,,0,N,N
240,241,1054,,,,2015.01.08,,,,,,20150108000000000411,귀농.귀촌인 통계,귀농.귀촌인 현황,,"연도별, 시도별, 연령별 귀농귀촌 가구수, 재배작물, 가육가축 현황 등의 통계자료",2500,귀농귀촌,,,Y,,,,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,989,,0,N,N
241,242,1054,,,,2015.01.08,,,,,,20150108000000000419,유기가공식품 인증현황,유기가공식품 현황,,"유기가공식품 인증기관 지정현황, 국각별 인증현황, 연도별 인증현황 등 ",2301,품질관리 > 인증,,Y,Y,Y,,Y,TI_MAFRA_T_NAT_CTFSL_CHN,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,2537,,0,N,N
242,243,1054,,,,2013.06.19,,,,,,20141016000000000279,소 한우 육우 권역별 경락가격 정보,축산물품질평가원 축산물등급판정정보,,"소 한우 육우 권역별(전국, 수도권, 중부권) 경락가격 정보
",2302,품질관리 > 등급,,Y,N,Y,Y,N,TI_EKAPE_CTTLE_AUCCT_ERE_RT,,201410120009,축산물품질평가원,,,,,,,,,,,,,,,,,,,,,open,969,,0,N,N
243,244,1054,,,,2014.10.16,,,,,,20141016000000000272,축산물 실시간 돼지도체 경매세부현황정보,축산물품질평가원 축산물등급판정정보,,실시간 축산물 돼지도체 경매세부현황정보,2302,품질관리 > 등급,,Y,N,Y,Y,N,TI_EKAPE_RLTM_PIG_AUC_DTLS,,201410120009,축산물품질평가원,,,,,,,,,,,,,,,,,,,,,open,1201,,0,N,N
244,245,1054,,,,2015.02.10,,,,,,20150210000000000421,농축산물 관세율 현황,농축산물 관세율 현황,,우리나라 농축산물의 WTO 양허관세율과 기본세율 자료,2402,농업정책 > 국외정책,,Y,Y,Y,,Y,TI_MAFRA_T_ARPRD_TRR_ST,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,4011,,0,N,N
245,246,1054,,,,2015.02.10,,,,,,20150210000000000422,네덜란드 푸드밸리 현황,국외 푸드밸리 현황,,2014년 조사한 네덜란드 푸드밸리 현황자료,2102,식품산업 > 식품기업,,,Y,,,,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,43068,,0,N,N
246,247,1054,,,,2014.10.15,,,,,,20141015000000000218,우수농산물(GAP) 관리시설 정보,GAP인증정보,,우수농산물(GAP) 관리시설 정보,2301,품질관리 > 인증,,Y,Y,Y,N,Y,TI_NAQS_ELCMG_FCLTY_INFO,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,550,,0,Y,N
247,248,1054,,,,2014.10.16,,,,,,20141016000000000303,마을동영상,농어촌체험마을정보,,체험마을 홍보 동영상,1703,농촌복지 > 농촌관광,,Y,N,Y,N,Y,TI_KRC_VILAGE_MVP,,201410120007,한국농어촌공사,,,,,,,,,,,,,,,,,,,,,open,236,,0,N,N
248,249,1054,,,,2014.10.15,,,,,,20141015000000000123,국립수목원 곤충표본,곤충표본(국가생물종 지식정보),,곤충자원의 국가적인 관리를 위해 전국의 우수 곤충표본보유기관을 대상으로 자료를 수집하여 데이터베이스를 구축,1902,농축산기술 > 생명자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,79,,0,N,N
249,250,1054,,,,2015.08.19,,,,,,20150819000000000439,품목별농산물소득정보,농축산물소득정보 DB,,품목별농산물소득정보 LINK정보,1911,농축산기술 > 경영,,N,,N,Y,,,,201410120013,농촌진흥청,,,,,,,,,,,,,,,,,,,,,open,463,,0,N,N
250,251,1054,,,,2014.11.25,,,,,,20141125000000000359,정부지원 미곡종합처리장(RPC) 현황(2018.01월),정부지원 미곡종합처리장(RPC) 현황,,"정부지원 미곡종합처리장(RPC) 현황(RPC명, 주소, 연락처)",1303,유통 > 유통관리,,Y,Y,Y,,Y,TI_MAFRA_T_RICE_GNRPRS_ST,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,309,,0,N,N
251,252,1054,,,,2014.11.20,,,,,,20141120000000000358,농업기계 보유현황,농기계보유현황,,"트랙터, 콤바인 등 8종의 농기계 보유현황 ",1907,농축산기술 > 농자재,,Y,Y,Y,N,Y,TI_MAFRA_FCH_HOLD_STTUS,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,2238,,0,N,Y
252,253,1054,,,,2014.11.25,,,,,,20141125000000000360,농림축산분야녹색인증현황,농림축산분야 녹색인증 현황,,농림축산분야녹색인증현황,2301,품질관리 > 인증,,,Y,,,,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,125,,0,N,N
253,254,1054,,,,2014.11.27,,,,,,20141127000000000363,6차산업 인증 사업자 현황,농림축산식품부_6차산업 인증사업자 현황 정보,,"경쟁력있는 6차산업 주체로 육성하기 위해 인증한 6차산업 인증사업자 현황
",2107,식품산업 > 6차산업,,Y,Y,Y,,Y,TI_MAFRA_T_SXABIT_PRRATR,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,783,,0,Y,N
254,255,1054,,,,2014.12.20,,,,,,20141220000000000374,일반농산어촌지역개발사업 통계,농산어촌종합개발정보,,일반농산어촌지역개발사업 지역별 사업 현황 통계,1702,농촌복지 > 농촌개발,,Y,Y,Y,Y,,TI_EPIS_AGCTL_CMPRDEVL_STATS,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,604,,0,N,Y
255,256,1054,,,,2014.12.20,,,,,,20141220000000000375,농수축산물 표준품목코드,경락가격정보서비스,,"공영도매시장 경락가격, 농협수협 위/공판장 등에서 사용하는 농수축산물 표준품목코드",1301,유통 > 유통가격,,Y,Y,Y,,N,TI_EPIS_AP_ST_PRDLST_CD,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,4740,,0,N,N
256,257,1054,,,,2014.12.20,,,,,,20141220000000000377,농수축산물 표준단위코드,경락가격정보서비스,,"공영도매시장 경락가격, 농협수협 위/공판장 등에서 사용하는 농수축산물 표준단위코드",1301,유통 > 유통가격,,Y,Y,Y,,,TI_EPIS_AP_ST_UNIT_CD,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,6655,,0,N,N
257,258,1054,,,,2014.12.20,,,,,,20141220000000000378,농수축산물 도매시장법인 코드,경락가격정보서비스,,농수축산물 도매시장법인 코드,1301,유통 > 유통가격,,Y,Y,Y,,,TI_EPIS_AP_WMC_CD,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,5566,,0,N,N
258,259,1054,,,,2014.12.20,,,,,,20141220000000000379,농수축산물 도매시장 코드,경락가격정보서비스,,농수축산물 도매시장 코드,1301,유통 > 유통가격,,Y,Y,Y,,,TI_EPIS_AP_WM_CD,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,2073,,0,N,N
259,260,1054,,,,2014.12.23,,,,,,20141223000000000395,오프라인 교육 과정,농업교육정보,,농업관련 오프라인교육과정정보 및 오프라인교육 실적정보,1600,교육,,Y,Y,Y,,,TI_EPIS_OFLNE_EDC_CRSE,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,256,,0,N,N
260,261,1054,,,,2014.12.24,,,,,,20141224000000000396,농업 경제 동향,농업경제동향,,"국내외 경제, 농업과 농촌경제 그리고 농정의 최근동향을 분기별로 제공",1911,농축산기술 > 경영,,,,,Y,,,,201410120015,농촌경제연구원,,,,,,,,,,,,,,,,,,,,,open,628,,0,N,N
261,262,1054,,,,2014.12.24,,,,,,20141224000000000399,지리적 표시 등록 정보,지리적표시관리정보,,"지리적표시관리 인증, 심사 등의 업무 관리 ",2301,품질관리 > 인증,,Y,Y,Y,,Y,TI_NAQS_GRDC_MANAGE_INFO,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,742,,0,N,N
262,263,1054,,,,2014.12.25,,,,,,20141225000000000400,친환경 인증정보,국립농산물품질관리원 친환경인증정보,,"친환경농산물인증의 인증번호, 농가명, 재배지역 등 상세정보 제공",2203,식품안전 > 검사,,,N,,Y,,,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,481,,0,N,N
263,264,1054,,,,2014.10.16,,,,,,20141016000000000288,농수축산물 도매가격,농수축산물 도소매가격,,"전국 도소매시장(도매시장, 전통시장, 대형마트)의 농수축산물 가격을 조사하여 제공",1301,유통 > 유통가격,,Y,Y,Y,N,Y,TI_AT_WHSAL_PRICE,,201410120008,한국농수산식품유통공사,,,,,,,,,,,,,,,,,,,,,open,2376,,0,N,N
264,265,1054,,,,2014.12.25,,,,,,20141225000000000406,농수축산물 소매가격,농수축산물 도소매가격,,"전국 도소매시장(도매시장, 전통시장, 대형마트)의 농수축산물 가격을 조사하여 제공",1301,유통 > 유통가격,,Y,Y,Y,,Y,TI_AT_RTLSAL_PRICE,,201410120008,한국농수산식품유통공사,,,,,,,,,,,,,,,,,,,,,open,5614,,0,N,N
265,266,1054,,,,2014.08.11,,,,,,20141015000000000164,시도별 임산물 생산량(액),임산물통계(대국민포털),,150개 임산물 품목별 시군구별 생산량 및 생산액,1201,산림 > 산림자원,,Y,Y,Y,Y,Y,TI_FOREST_CTPRVN_FSRCS,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,165,,0,N,Y
266,267,1054,,,,2014.10.16,,,,,,20141016000000000226,교육 실적 통계,농업교육정보,,농업관련 온/오프라인 교육과정정보 및 온라인교육 실적정보,1600,교육,,Y,N,Y,Y,N,TI_EPIS_EDC_ACMSLT_STATS,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,133,,0,N,Y
267,268,1054,,,,2015.01.08,,,,,,20150108000000000413,축산물 HACCP 컨설팅 등록업체 현황,농식품부 축산물 HACCP 컨설팅 등록업체 현황,,축산물 HACCP 컨설팅 사업 수행을 위해 농식품부에 등록된 업체현황,2301,품질관리 > 인증,,,Y,,,,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,253,,0,N,N
268,269,1054,,,,2015.08.19,,,,,,20150819000000000453,작물 영향 진단 서비스,작물영양정보 서비스,,작물영향진단 서비스,1001,농산 > 식량작물,,,,,Y,,,,201410120013,농촌진흥청,,,,,,,,,,,,,,,,,,,,,open,1345,,0,N,N
269,270,1054,,,,2015.08.27,,,,,,20150827000000000465,레시피 재료정보,농수축산물 안심레시피 정보,,레시피 재료정보,2103,식품산업 > 외식산업,,Y,,Y,,,VIEW_TN_RECIPE_IRDNT,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,21132,,0,N,N
270,271,1054,,,,2015.09.07,,,,,,20150907000000000469,만화로 보는 농업정책 햇살이네,농림축산식품부 간행물,,"농림축산식품 홈페이지, 블로그, PCRM, 네이버, 무가지 신문사, 농수축산신문 등에 연재되어 더 많은 국민에게 농업 정책을 알리는 정보로 '햇살이네 집'은 평범한 농촌가정에서 일어나는 에피소드와 정책을 접목한 만화로 1회당 4면으로 구성되어 있습니다. 정보와 재미를 함께 주기 위해서입니다. 또한 1컷짜리 만평도 함께 제작하여, 언론사가 이를 활용 할 수 있도록 노력하고 있습니다. 
'햇살이네 집'은 2006년 11월 1일 부터 2007년 12월 20일까지 총 52회로 구성되었습니다.",1600,교육,,,Y,,,,,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,534,,0,N,N
271,272,1054,,,,2015.10.19,,,,,,20151019000000000480,농업기반시설 시설제원-양배수장,농업기반시설 시설제원,,농업기반시설물 시설제원,1500,시설장비,,Y,,Y,N,Y,TI_KRC_EQUM_QUANTITY_SALURAN,,201410120007,한국농어촌공사,,,,,,,,,,,,,,,,,,,,,open,663,,0,Y,Y
272,273,1054,,,,2015.10.27,,,,,,20151027000000000488,원산지표시 우수업체 현황,농축산물유통관리정보,,원사지표시 우수업체 선정 내역,1303,유통 > 유통관리,,Y,Y,Y,,N,TI_NAQS_ORGPLCE_IEEPS_STUS,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,204,,0,Y,N
273,274,1054,,,,2015.11.17,,,,,,20151117000000000534,원천조사가격목록조회,농수축산물 품목별 상세조사가격,,"""전국에서 거래되는 농산물, 수산물, 축산물 중 국민들의 삶에 영향을 미치는 주요 품목들에 대하여 한국농수산식품유통공사, 농업협동조합중앙회, 수산업협동조합중앙회 및 축산물품질평가원에 소속된 조사원들이 조사한 가격 정보와 거래되는 상품들의 상세 정보
도매가격과 소매가격이 포함되어 있음""
",1301,유통 > 유통가격,,Y,,Y,,Y,VIEW_ODM_EXAMIN_PRIC_OPEN,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,10452,,0,N,N
274,275,1054,,,,2015.11.17,,,,,,20151117000000000535,원천산지위판장가격목록조회,산지위판장 경락가격정보,,"수협 산지 위판장에서 거래되는 수산물들의 경매낙찰가격과 거래되는 상품들에 대한 거래 상세 정보
",1301,유통 > 유통가격,,Y,,Y,,Y,VIEW_SRC_MTC_CTTMLT_PC_LIST,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,2323,,0,N,N
275,276,1054,,,,2015.11.17,,,,,,20151117000000000538,원천실시간경락가격품목목록조회,농수축산물 도매시장 상세 경락가격,,"전국 도매시장에서 거래되는 농산물, 수산물, 축산물의 경매낙찰가격과 거래되는 상품들에 대한 실시간 거래 상세 정보(경락일자+품목코드)
",1301,유통 > 유통가격,,Y,,Y,,Y,VIEW_RLTM_AUCCT_PC_PRDLST,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,1744,,0,N,N
276,277,1054,,,,2015.11.17,,,,,,20151117000000000540,신구표준품목목록조회,농수축산물 표준코드 매핑정보,,"2015년 제·개정된 농축수산물 표준코드의 품목코드(부류, 품목, 품종)와 동일한 의미를 가지는 2013년 농축수산물 표준코드의 품목코드(부류, 품목, 품종)를 나타낸 정보
",1301,유통 > 유통가격,,Y,,Y,,Y,VIEW_SCM_PRDLST_LIST,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,1320,,0,N,N
277,278,1054,,,,2015.11.17,,,,,,20151117000000000544,신구표준크기목록조회,농수축산물 표준코드 매핑정보,,"2015년 제·개정된 농축수산물 표준코드의 크기코드와 동일한 의미를 가지는 2013년 농축수산물 표준코드의 크기코드를 나타낸 정보
",1301,유통 > 유통가격,,Y,,Y,,Y,VIEW_SCM_MG_LIST,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,727,,0,N,N
278,279,1054,,,,2015.12.04,,,,,,20151204000000000563,가축 질병 발생 정보,가축질병발생정보,,가축전염병정보제공,1901,농축산기술 > 가축질병,,Y,,Y,,,TI_QIA_LVSTCK_DISOCNC_INFO,,201410120004,농림축산검역본부,,,,,,,,,,,,,,,,,,,,,open,5280,,0,N,N
279,280,1054,,,,2014.10.14,,,,,,20141014000000000022,쌀소득등보전직불제 지급현황_고정,쌀소득등보전직불제 지원현황,,"지역별 쌀소득등보전직불제(고정직불, 변동직불) 지급현황",2401,농업정책 > 국내정책,,Y,Y,Y,N,Y,TI_MAFRA_RICE_DEBIT_FIX,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,304,,0,N,N
280,281,1054,,,,2014.10.15,,,,,,20141015000000000129,식물 표본 정보,식물표본(국가생물종 지식정보),,"각 대학 식물 표본관, 연구소 등에서 소장하고 있는 식물표본을 데이터베이스로 구축",1902,농축산기술 > 생명자원,,N,N,N,Y,N,,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,29,,0,N,N
281,282,1054,,,,2014.10.16,,,,,,20141016000000000304,농식품공무원교육원 교육정보,농식품공무원교육원 교육정보,,농식품공무원교육원의 연간 교육정보 제공,1600,교육,,Y,Y,Y,N,Y,TI_ATI_EDC_INFO,,201410120006,농식품공무원교육원,,,,,,,,,,,,,,,,,,,,,open,186,,0,N,N
282,283,1054,,,,2014.10.14,,,,,,20141014000000000078,지역축제,농어촌체험마을정보,,마을 주변 지역 축제,1703,농촌복지 > 농촌관광,,Y,Y,Y,N,Y,TI_KRC_AREA_FSTVL,,201410120007,한국농어촌공사,,,,,,,,,,,,,,,,,,,,,open,277,,0,N,N
283,284,1054,,,,2014.10.14,,,,,,20141014000000000035,IBT융합기술R&D 과제정보,농림수산식품 IBT 융합 R&D 정보,,농림수산식품 IBT 융합 R&D 과제 정보,1909,농축산기술 > R&D,,Y,Y,Y,N,Y,TI_IPET_IBT_TASK,,201410120011,농림수산식품기술기획평가원,,,,,,,,,,,,,,,,,,,,,open,986,,0,N,N
284,285,1054,,,,2013.11.13,,,,,,20141016000000000224,교육 과정 분류,농업교육정보,,농업관련 온/오프라인 교육과정정보 및 온라인교육 실적정보,1600,교육,,Y,Y,Y,Y,N,TI_EPIS_EDC_CRSE_CL,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,143,,0,N,N
285,286,1054,,,,2014.10.16,,,,,,20141016000000000275,축산물 도매시장 소도체 등급별 경락가격정보,축산물품질평가원 축산물등급판정정보,,축산물 도매시장 소도체 등급별 경락가격정보,2302,품질관리 > 등급,,Y,N,Y,Y,N,TI_EKAPE_MRKT_CTTLE_AUCCT,,201410120009,축산물품질평가원,,,,,,,,,,,,,,,,,,,,,open,1776,,0,N,N
286,287,1054,,,,2015.08.27,,,,,,20150827000000000464,레시피 기본정보,농수축산물 안심레시피 정보,,레시피 기본정보,2103,식품산업 > 외식산업,,Y,,Y,,,VIEW_TN_RECIPE_INFO,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,13326,,0,N,N
287,288,1054,,,,2015.09.23,,,,,,20150923000000000474,귀농귀촌 지원정책,귀농귀촌정보,,귀농귀촌을 위한 중앙 및 지자체별 지원정책 정보,2500,귀농귀촌,,,,,Y,,,,201410120010,농림수산식품교육문화정보원,,,,,,,,,,,,,,,,,,,,,open,4422,,0,N,N
288,289,1054,,,,2015.10.20,,,,,,20151020000000000485,식품 소비 형태,식품소비형태,,"소비자의 식품군 및 품목별 구매행태, 식품소비 동향 및 전망 등은 식품 기업의 시장 분석을 위한 기초분석보고서, 통계보고서, 경과발표대회 자료집 링크 제공 ",1302,유통 > 소비동향,,,,,Y,,,,201410120015,농촌경제연구원,,,,,,,,,,,,,,,,,,,,,open,1878,,0,N,N
289,290,1054,,,,2015.10.27,,,,,,20151027000000000493,말 방역 현황,말방역현황,,말들의 개별 방역현황,1800,말산업,,Y,,Y,,,TI_KRA_HRE_DSNFC_STUS,,201410120012,한국마사회,,,,,,,,,,,,,,,,,,,,,open,857,,0,N,N
290,291,1054,,,,2015.10.30,,,,,,20151030000000000516,달 평균 음융 횟수,주류산업정보 실태조사,,달평균음융횟수,2102,식품산업 > 식품기업,,Y,,Y,,Y,TI_MAFRA_A_MTAVRG_DKPSCO,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,251,,0,N,Y
